"y","temp","rain","wet","snow","cloud","dust","temp.sqr","sunny","semester","past_return","X1_2","X2_3","X3_4","X4_5","X5_6","X6_7","X8_9","X9_10","X10_11","X11_12","X12_13","X13_14","X14_15","X15_16","X16_17","X18_19","X19_20","X20_21","X21_22","X22_23","X23_24","m5","m20","m25","m35","m45","m55","m65","f25","f30","f65","f70","bus_passenger","sub_passenger"
1,0.7,0,81,0,9,31,0.49,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,428.2473,2788.5948,3456.5987,1292.2232,961.2036,705.5771,414.6474,3665.298,1892.3083,519.4533,1187.8481,17,0
1,-0.4,0,77,0,0,30,0.16,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,439.4328,2766.1461,3478.9939,1299.4078,972.9738,734.9129,417.1738,3660.8975,1920.5468,506.6489,1209.5271,19,0
0,-1.6,0,78,0,0,27,2.56,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,445.6092,2801.692,3470.7597,1304.0884,963.7398,700.7751,408.4671,3645.3716,1906.5811,506.116,1197.8386,13,0
0,-2.2,0,76,0,0,40,4.84,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,433.3701,2779.9815,3507.3218,1310.1349,1006.9669,705.018,417.227,3644.9303,1913.1474,492.5156,1176.5258,37,12
0,-2.9,0,74,0,0,30,8.41,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,436.69,2804.2118,3528.7522,1302.2315,1001.119,727.137,443.7448,3658.787,1936.3364,517.363,1188.0812,73,533
0,-3.6,0,73,0,0,33,12.96,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,457.1604,2743.7162,3460.1136,1358.1896,1011.561,801.5231,455.1808,3614.7621,1956.8949,531.4881,1204.6782,165,879
0,-4,0,76,0,0,37,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,489.7856,2700.5523,3341.18,1409.4014,1171.3598,948.0406,471.0293,3485.6262,1936.5794,567.9657,1270.5529,409,2390
1,-4.6,0,75,0,0,42,21.16,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,708.9889,2567.7235,2885.0788,1439.1881,1247.1875,923.6226,528.4385,3148.3347,1764.2484,569.5154,1310.776,703,4454
1,-4.3,0,73,0,0,41,18.49,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,802.3288,2525.5709,2692.5035,1484.9312,1271.5629,1016.4731,507.5462,2878.7932,1700.6607,623.2557,1362.727,563,2763
1,-3.5,0,66,0,0,43,12.25,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,745.1764,2566.0131,2649.8149,1626.0089,1334.0195,1080.6244,535.5387,2853.2876,1726.2785,602.1127,1389.6236,339,1469
0,-1.9,0,55,0,0,42,3.61,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,871.9803,2691.9563,2658.0089,1552.6038,1308.7639,997.706,506.5349,2936.7126,1713.4265,563.289,1418.5423,308,1379
