"y","bus_passenger","past_rent","temp","sub_passenger","m5","wet","sunny","f15","m50","most_use","m35","m20","f30","f45","f20","m30","m25","f0","f70","wind","m0","m70","m55","m40","f60","f65","m45","f25","f40","m60","m65","f50","dust","f35","f55","X18_19","cloud","X17_18","rain","weekend","semester","X22_23","X1_2","X7_8"
1,350,0,0.9,1601,857.3689,36,0,1014.0743,1154.8022,18864.0709,1510.9998,2710.3982,1625.2388,1121.1977,4233.7315,1720.4887,2693.7614,371.4619,1309.883,2.1,458.3968,926.741,1075.5495,1224.5282,798.234,622.8533,1293.3652,2922.4458,1013.2716,739.0346,541.5435,1008.2463,38,1447.0067,921.7864,0,2,0,0,0,0,0,0,0
1,407,1,1.7,1661,776.4583,43,1,1117.9918,1217.4117,19100.1617,1460.7442,2856.6664,1699.0385,1156.7422,4305.2457,1717.156,2721.8669,477.6398,1360.3603,2.8,554.3713,956.0724,1066.5346,1210.1774,807.4246,629.8864,1311.0648,2941.0495,1056.2872,759.8518,542.9097,1044.9356,35,1398.3945,930.1997,0,4,0,0,0,0,0,0,0
1,409,0,2,1746,774.643,43,1,1331.7675,1235.0978,19620.1456,1520.8883,2913.5869,1718.2784,1176.4602,4551.2047,1716.8676,2828.2211,405.9336,1314.2719,2.4,451.932,924.2738,1092.2724,1277.6667,841.7481,617.1358,1334.6582,2947.6832,1152.2567,737.439,541.6243,1042.1027,37,1423.4154,1000.6554,0,6,0,0,0,0,0,0,0
0,475,0,2.2,2078,862.0225,48,1,1509.9943,1182.228,20033.1745,1563.615,3048.8963,1732.9643,1213.4825,4622.7266,1743.0036,2861.655,421.9394,1320.5806,2.2,518.499,908.7911,1004.7152,1279.4113,844.4154,633.3601,1273.3366,3001.5806,1115.5868,739.1344,503.9378,987.4939,33,1458.7331,964.4287,0,6,0,0,0,0,0,0,0
0,576,1,2.3,2675,1113.7642,49,1,1773.7533,1200.9963,20077.6446,1541.2622,3128.9349,1653.7936,1165.018,4704.3098,1758.573,2945.7799,401.7319,1322.5985,2.4,527.9048,924.7538,931.7262,1264.2411,837.3723,575.3131,1286.7302,3014.8984,1060.8693,703.575,509.5979,1036.4946,37,1330.0928,913.6478,0,7,0,0,0,0,0,0,0
2,626,0,1.6,3455,1462.203,56,1,2060.307,1119.0981,21374.8499,1580.843,3566.9292,1699.6399,1125.9201,5077.701,1832.8592,3144.4974,470.282,1304.803,3,478.9472,918.6571,862.4286,1260.9816,794.8837,591.3638,1265.1751,3165.3341,1050.205,662.4177,528.022,969.4632,38,1307.0461,912.9846,0,8,1,0,0,0,0,0,0
1,939,2,1.3,4126,1744.4481,58,1,2215.459,1149.0736,24922.9893,1658.274,4113.3908,2191.8572,1187.7941,5727.6594,2164.098,3613.3573,458.8049,1259.3332,1.9,486.4166,933.1072,922.902,1358.0766,790.7419,613.0449,1371.9742,3976.3613,1075.355,717.9191,510.3344,969.3633,31,1477.9913,952.0257,1,9,0,0,0,0,0,0,0
3,729,1,1.3,2725,1583.4592,65,1,2102.8311,1018.1303,25018.0437,1653.4535,4065.1125,2116.7063,1112.8779,5850.444,2131.5452,3726.0957,461.8789,1230.6667,2.6,477.2858,876.745,864.4499,1230.2638,784.2587,628.8605,1213.1551,4043.4377,979.0794,650.9527,491.4713,904.3468,21,1431.2488,909.9748,0,9,0,0,0,0,0,0,0
1,627,2,1.2,3443,1381.3895,68,1,1698.0712,952.5821,24191.7665,1583.3262,3789.5552,2055.64,1040.8249,5604.409,2130.5112,3683.61,466.3662,1215.3251,1.8,497.7466,848.6156,816.706,1089.3896,732.2397,628.7436,1167.5954,3963.7459,899.9572,590.3687,479.5888,849.9934,22,1380.969,842.1525,0,9,0,0,0,0,0,0,0
1,723,1,1.1,3962,873.1528,74,1,1002.9422,884.6691,21995.3497,1515.8027,3060.5916,1898.2962,999.9461,5014.7695,1987.1486,3461.494,408.4166,1199.8616,2.8,531.9859,876.2562,776.5617,994.5742,753.9444,618.7889,1045.0666,3702.9449,788.8963,607.2116,450.1245,837.7435,29,1354.3022,787.7225,0,9,0,0,0,0,0,0,0
