"y","m30","f20","f15","m25","temp","X10_11","sub_passenger","X9_10","m20","m50","bus_passenger","semester","f50","wet","rain","f45","m5","f70","f30","past_rent","f40","m45","f0","m35","m0","m55","m70","f35","m40","most_use","f55","f65","m65","m60","cloud","f60","f25","wind","X8_9","dust","sunny","X7_8","X11_12","X15_16","temp.sqr","X13_14","X16_17","X14_15"
4,1648.7732,4270.768,743.7441,2847.9055,-7.6,0,4472,0,2519.3405,1018.9741,712,0,936.5414,55,0,924.3551,644.902,1304.7471,1705.8362,0,925.8083,1208.1979,375.8258,1426.351,436.3641,913.6478,869.331,1263.8432,1119.5196,18767.3927,843.9229,533.7396,517.2983,643.2286,1,728.622,3084.5751,1.6,1,25,0,0,0,0,57.76,0,0,0
3,1612.2712,3956.3774,686.4385,2662.0406,-6.9,0,2597,1,2482.0831,1103.368,484,0,915.2747,55,0,1035.5256,672.8843,1391.9837,1671.153,1,940.7677,1250.4559,376.2878,1395.7268,468.4626,1001.3734,922.4688,1285.0733,1181.4821,17936.2537,895.3672,562.8275,549.8313,736.8433,1,767.7525,2871.5283,1.7,0,23,0,0,0,0,47.61,0,0,0
3,1640.1081,3960.7385,754.2041,2688.0373,-4,1,1361,0,2511.324,1166.6949,332,0,943.9601,55,0,1173.343,744.7539,1392.7046,1675.3203,0,1009.0316,1312.3121,362.6595,1439.9264,509.9497,1056.6613,859.6573,1342.5714,1159.787,18079.1343,910.2718,586.9194,514.519,746.2477,2,765.2355,2821.1083,1.2,0,20,0,0,0,0,16,0,0,0
1,1662.9091,4061.4116,863.6813,2626.2692,-1.4,0,1430,0,2534.5863,1122.7146,306,0,946.7855,44,0,1104.404,878.6157,1475.7007,1684.9537,0,1043.2783,1295.4737,430.8532,1466.3247,517.4044,1081.0416,906.669,1418.3272,1156.4928,18323.4817,919.8563,593.273,551.6107,717.0376,0,776.9227,2868.6999,1.5,0,32,0,0,1,0,1.96,0,0,0
1,1720.4887,4233.7315,1014.0743,2693.7614,0.9,0,1601,0,2710.3982,1154.8022,350,0,1008.2463,36,0,1121.1977,857.3689,1309.883,1625.2388,0,1013.2716,1293.3652,371.4619,1510.9998,458.3968,1075.5495,926.741,1447.0067,1224.5282,18864.0709,921.7864,622.8533,541.5435,739.0346,2,798.234,2922.4458,2.1,0,38,0,0,0,0,0.81,0,0,0
0,1717.156,4305.2457,1117.9918,2721.8669,1.7,0,1661,0,2856.6664,1217.4117,407,0,1044.9356,43,0,1156.7422,776.4583,1360.3603,1699.0385,1,1056.2872,1311.0648,477.6398,1460.7442,554.3713,1066.5346,956.0724,1398.3945,1210.1774,19100.1617,930.1997,629.8864,542.9097,759.8518,4,807.4246,2941.0495,2.8,0,35,1,0,0,0,2.89,1,0,0
1,1716.8676,4551.2047,1331.7675,2828.2211,2,0,1746,0,2913.5869,1235.0978,409,0,1042.1027,43,0,1176.4602,774.643,1314.2719,1718.2784,0,1152.2567,1334.6582,405.9336,1520.8883,451.932,1092.2724,924.2738,1423.4154,1277.6667,19620.1456,1000.6554,617.1358,541.6243,737.439,6,841.7481,2947.6832,2.4,0,37,1,0,0,0,4,0,0,1
0,1743.0036,4622.7266,1509.9943,2861.655,2.2,0,2078,0,3048.8963,1182.228,475,0,987.4939,48,0,1213.4825,862.0225,1320.5806,1732.9643,3,1115.5868,1273.3366,421.9394,1563.615,518.499,1004.7152,908.7911,1458.7331,1279.4113,20033.1745,964.4287,633.3601,503.9378,739.1344,6,844.4154,3001.5806,2.2,0,33,1,0,0,1,4.84,0,0,0
0,1758.573,4704.3098,1773.7533,2945.7799,2.3,0,2675,0,3128.9349,1200.9963,576,0,1036.4946,49,0,1165.018,1113.7642,1322.5985,1653.7936,0,1060.8693,1286.7302,401.7319,1541.2622,527.9048,931.7262,924.7538,1330.0928,1264.2411,20077.6446,913.6478,575.3131,509.5979,703.575,7,837.3723,3014.8984,2.4,0,37,1,0,0,0,5.29,0,1,0
0,1832.8592,5077.701,2060.307,3144.4974,1.6,0,3455,0,3566.9292,1119.0981,626,0,969.4632,56,0,1125.9201,1462.203,1304.803,1699.6399,3,1050.205,1265.1751,470.282,1580.843,478.9472,862.4286,918.6571,1307.0461,1260.9816,21374.8499,912.9846,591.3638,528.022,662.4177,8,794.8837,3165.3341,3,0,38,1,0,0,0,2.56,0,0,0
